2024-09-21 21:29:40,131 - 작업 [0, 2]을 완료, 소요된 시간 2초
2024-09-21 21:29:43,132 - 작업 [0, 5]을 완료, 소요된 시간 2초
2024-09-21 21:29:47,133 - 작업 [0, 9]을 완료, 소요된 시간 3초
2024-09-21 21:29:51,134 - 작업 [1, 4]을 완료, 소요된 시간 3초
2024-09-21 21:29:54,136 - 작업 [2, 0]을 완료, 소요된 시간 2초
2024-09-21 21:29:57,138 - 작업 [2, 4]을 완료, 소요된 시간 2초
2024-09-21 21:29:59,139 - 작업 [2, 8]을 완료, 소요된 시간 1초
2024-09-21 21:30:02,140 - 작업 [3, 0]을 완료, 소요된 시간 2초
2024-09-21 21:30:04,142 - 작업 [3, 4]을 완료, 소요된 시간 1초
2024-09-21 21:30:08,142 - 작업 [3, 7]을 완료, 소요된 시간 3초
2024-09-21 21:30:12,144 - 작업 [4, 3]을 완료, 소요된 시간 3초
2024-09-21 21:30:16,147 - 작업 [4, 7]을 완료, 소요된 시간 3초
2024-09-21 21:30:18,147 - 작업 [5, 1]을 완료, 소요된 시간 1초
2024-09-21 21:30:20,148 - 작업 [5, 5]을 완료, 소요된 시간 1초
2024-09-21 21:30:23,149 - 작업 [5, 9]을 완료, 소요된 시간 2초
2024-09-21 21:30:26,150 - 작업 [6, 2]을 완료, 소요된 시간 2초
2024-09-21 21:30:28,150 - 작업 [6, 6]을 완료, 소요된 시간 1초
2024-09-21 21:30:30,152 - 작업 [7, 0]을 완료, 소요된 시간 1초
2024-09-21 21:30:34,153 - 작업 [7, 1]을 완료, 소요된 시간 3초
2024-09-21 21:30:37,154 - 작업 [7, 7]을 완료, 소요된 시간 2초
2024-09-21 21:30:40,156 - 작업 [8, 1]을 완료, 소요된 시간 2초
2024-09-21 21:30:43,157 - 작업 [8, 5]을 완료, 소요된 시간 2초
2024-09-21 21:30:46,157 - 작업 [8, 9]을 완료, 소요된 시간 2초
2024-09-21 21:30:49,158 - 작업 [9, 4]을 완료, 소요된 시간 2초
2024-09-21 21:30:51,159 - 작업 [9, 7]을 완료, 소요된 시간 1초
2024-09-21 21:30:55,160 - 작업 [0, 6]을 완료, 소요된 시간 3초
2024-09-21 21:30:59,161 - 작업 [3, 9]을 완료, 소요된 시간 3초
2024-09-21 21:31:02,163 - 작업 [6, 5]을 완료, 소요된 시간 2초
2024-09-21 21:31:06,164 - 작업 [8, 1]을 완료, 소요된 시간 3초
2024-09-21 21:31:08,165 - 작업 [9, 8]을 완료, 소요된 시간 1초
2024-09-21 21:31:12,172 - worker 3이 처리한 작업 수 25
2024-09-21 21:31:12,172 - worker 3이 수행한 시간 50 초
